experiment_id,scope,total_pairs,always_together,stability_score
Comb_List_SpecifyEx_T1_00654f,claude-haiku-4-5-20251001,217,10,0.0461
Comb_List_SpecifyEx_T1_00654f,claude-sonnet-4-6,114,27,0.2368
Comb_List_SpecifyEx_T1_00654f,claude-opus-4-6,162,19,0.1173
Comb_List_SpecifyEx_T1_00654f,gpt-5.4-nano-2026-03-17,218,3,0.0138
Comb_List_SpecifyEx_T1_00654f,gpt-5.4-mini-2026-03-17,454,73,0.1608
Comb_List_SpecifyEx_T1_00654f,gpt-5.4-2026-03-05,178,23,0.1292
Comb_List_SpecifyEx_T1_00654f,models/gemini-2.5-flash-lite,231,12,0.0519
Comb_List_SpecifyEx_T1_00654f,models/gemini-2.5-flash,149,13,0.0872
Comb_List_SpecifyEx_T1_00654f,models/gemini-2.5-pro,224,22,0.0982
Comb_List_SpecifyEx_T1_00654f,experiment,669,0,0.0
