model_id,run_name,num_categories,num_subcategories,num_games,dist_min,dist_mean,dist_max,dist_stdev,avg_path_length,num_edges,num_nodes,recall,precision,f1,num_hallucinations,hallucinated_names
claude-haiku-4-5-20251001,1claude_5525134a,4,10,42,4,10.5,13,4.36,3.0,56,57,1.0,1.0,1.0,0,
claude-haiku-4-5-20251001,2claude_110c3d41,5,8,42,2,8.4,25,10.06,2.9,55,56,1.0,1.0,1.0,0,
claude-haiku-4-5-20251001,3claude_6a55536a,5,11,42,0,8.4,14,6.8,3.0,58,59,1.0,1.0,1.0,0,
claude-opus-4-6,1claude_37c17056,7,14,42,1,6,15,4.69,2.9,63,64,1.0,1.0,1.0,0,
claude-opus-4-6,2claude_2237fc1b,5,14,42,4,8.4,16,4.83,3.0,61,62,1.0,1.0,1.0,0,
claude-opus-4-6,3claude_d73a2f79,5,15,42,3,8.4,17,5.64,2.93,62,63,1.0,1.0,1.0,0,
claude-sonnet-4-6,1claude_a5b5766c,7,20,42,2,6,14,4.0,2.93,69,70,1.0,1.0,1.0,0,
claude-sonnet-4-6,2claude_f0d6a37a,9,30,42,1,4.67,9,2.69,3.0,81,82,1.0,1.0,1.0,0,
claude-sonnet-4-6,3claude_0aea2aeb,7,29,42,1,6,12,3.96,2.98,78,79,1.0,1.0,1.0,0,
gpt-5.4-2026-03-05,1openai_0674b464,1,7,41,41,41,41,0.0,4.63,69,70,0.9762,1.0,0.988,0,
gpt-5.4-2026-03-05,2openai_eca61c25,9,20,42,1,4.67,16,4.85,2.93,71,72,1.0,1.0,1.0,0,
gpt-5.4-2026-03-05,3openai_25145a01,5,0,0,0,0,0,0.0,0.0,5,6,1.0,1.0,1.0,0,
gpt-5.4-mini-2026-03-17,1openai_25be0659,9,0,42,0,4.67,13,4.61,2.0,51,52,1.0,1.0,1.0,0,
gpt-5.4-mini-2026-03-17,2openai_ff8f3965,8,0,42,0,5.25,26,9.0,2.0,50,51,1.0,1.0,1.0,0,
gpt-5.4-mini-2026-03-17,3openai_1386de33,9,0,42,0,4.67,17,6.54,2.0,51,52,1.0,1.0,1.0,0,
gpt-5.4-nano-2026-03-17,1openai_27e66c28,7,0,42,0,6,15,5.42,2.0,49,50,1.0,1.0,1.0,0,
gpt-5.4-nano-2026-03-17,2openai_b471ff37,7,0,41,0,5.86,29,10.59,2.0,48,49,1.0,1.0,1.0,0,
gpt-5.4-nano-2026-03-17,3openai_77dd4545,11,50,0,0,0,0,0.0,0.0,49,50,0.0,0.0,0.0,0,
models/gemini-2.5-flash,1gemini_c71d0e07,5,11,40,4,8,16,5.1,3.0,56,57,0.9524,1.0,0.9756,0,
models/gemini-2.5-flash,2gemini_89af40a1,5,11,40,4,8,16,5.1,3.0,56,57,0.9524,1.0,0.9756,0,
models/gemini-2.5-flash,3gemini_4bb0ceb1,4,5,23,2,5.75,10,3.3,3.0,32,33,0.9524,1.0,0.9756,0,
models/gemini-2.5-flash-lite,1gemini_9ff7c580,6,11,42,0,7,17,6.48,3.0,59,60,1.0,1.0,1.0,0,
models/gemini-2.5-flash-lite,2gemini_d7c89e03,6,11,42,0,7,17,6.48,3.0,59,60,1.0,1.0,1.0,0,
models/gemini-2.5-flash-lite,3gemini_938a0e35,6,11,42,0,7,17,6.48,3.0,59,60,1.0,1.0,1.0,0,
models/gemini-2.5-pro,1gemini_b268b3db,5,4,38,2,7.6,17,5.68,2.66,47,48,1.0,1.0,1.0,0,
models/gemini-2.5-pro,2gemini_3d3093a2,6,6,40,2,6.67,17,5.47,2.62,52,53,0.9762,1.0,0.988,0,
models/gemini-2.5-pro,3gemini_c112d38d,5,6,42,5,8.4,15,4.45,2.76,53,54,1.0,0.9545,0.9767,2,Slitherlink (Grid Division); Mid-loop (Number Placement)
