experiment_id,scope,total_pairs,always_together,stability_score
Comb_List_Basic_T1_00654f,claude-haiku-4-5-20251001,202,9,0.0446
Comb_List_Basic_T1_00654f,claude-sonnet-4-6,119,9,0.0756
Comb_List_Basic_T1_00654f,claude-opus-4-6,154,59,0.3831
Comb_List_Basic_T1_00654f,gpt-5.4-nano-2026-03-17,267,9,0.0337
Comb_List_Basic_T1_00654f,gpt-5.4-mini-2026-03-17,355,37,0.1042
Comb_List_Basic_T1_00654f,gpt-5.4-2026-03-05,197,19,0.0964
Comb_List_Basic_T1_00654f,models/gemini-2.5-flash-lite,368,5,0.0136
Comb_List_Basic_T1_00654f,models/gemini-2.5-flash,259,40,0.1544
Comb_List_Basic_T1_00654f,models/gemini-2.5-pro,185,41,0.2216
Comb_List_Basic_T1_00654f,experiment,705,0,0.0
