model_id,run_name,edit_dist_experiment,edit_dist_model
claude-haiku-4-5-20251001,1claude_0c0bf79e,,27
claude-haiku-4-5-20251001,2claude_0f85e2d2,,29
claude-haiku-4-5-20251001,3claude_570cfce5,,34
claude-opus-4-6,1claude_8c81523f,,26
claude-opus-4-6,2claude_a7e064f2,,24
claude-opus-4-6,3claude_9f77b706,,28
claude-sonnet-4-6,1claude_d7b09cc5,,25
claude-sonnet-4-6,2claude_6b09a3fb,,25
claude-sonnet-4-6,3claude_01e2ab99,,23
gpt-5.4-2026-03-05,1openai_48d521df,,25
gpt-5.4-2026-03-05,2openai_8cf82508,,22
gpt-5.4-2026-03-05,3openai_005d896a,,20
gpt-5.4-mini-2026-03-17,1openai_37f502a2,,18
gpt-5.4-mini-2026-03-17,2openai_f4cf0dd2,,20
gpt-5.4-mini-2026-03-17,3openai_579ac83f,,21
gpt-5.4-nano-2026-03-17,1openai_668465cd,,37
gpt-5.4-nano-2026-03-17,2openai_6e51b2d4,,20
gpt-5.4-nano-2026-03-17,3openai_33a04609,,38
models/gemini-2.5-flash,1gemini_ee17fd95,,26
models/gemini-2.5-flash,2gemini_567908a7,,27
models/gemini-2.5-flash,3gemini_785053ae,,26
models/gemini-2.5-flash-lite,1gemini_a8829b87,,27
models/gemini-2.5-flash-lite,2gemini_df1280f4,,28
models/gemini-2.5-flash-lite,3gemini_394e4415,,29
models/gemini-2.5-pro,1gemini_fb4a5a9e,,20
models/gemini-2.5-pro,2gemini_c431d026,,26
models/gemini-2.5-pro,3gemini_d9961780,,26
