model_id,run_name,num_categories,num_subcategories,num_games,dist_min,dist_mean,dist_max,dist_stdev,avg_path_length,num_edges,num_nodes,recall,precision,f1,num_hallucinations,hallucinated_names
claude-haiku-4-5-20251001,1claude_29407d20,7,0,42,4,6,8,1.53,2.0,49,50,1.0,1.0,1.0,0,
claude-haiku-4-5-20251001,2claude_f84a2074,7,0,41,2,5.86,9,2.54,2.0,48,49,0.9762,1.0,0.988,0,
claude-haiku-4-5-20251001,3claude_dd2c02ae,7,0,42,4,6,10,2.52,2.0,49,50,1.0,1.0,1.0,0,
claude-opus-4-6,1claude_33e44504,7,0,42,3,6,12,3.16,2.0,49,50,1.0,1.0,1.0,0,
claude-opus-4-6,2claude_e667b5ae,7,0,42,2,6,10,2.77,2.0,49,50,1.0,1.0,1.0,0,
claude-opus-4-6,3claude_24df91cd,7,0,42,2,6,13,3.65,2.0,49,50,1.0,1.0,1.0,0,
claude-sonnet-4-6,1claude_ea560e11,7,0,42,0,6,11,3.37,2.0,49,50,1.0,1.0,1.0,0,
claude-sonnet-4-6,2claude_d6dbe298,7,0,42,2,6,8,2.52,2.0,49,50,1.0,1.0,1.0,0,
claude-sonnet-4-6,3claude_f523c957,7,0,42,0,6,12,3.87,2.0,49,50,1.0,1.0,1.0,0,
gpt-5.4-2026-03-05,1openai_d8e1b8f1,7,0,42,2,6,16,5.13,2.0,49,50,1.0,1.0,1.0,0,
gpt-5.4-2026-03-05,2openai_151e6197,7,0,42,1,6,12,4.24,2.0,49,50,1.0,1.0,1.0,0,
gpt-5.4-2026-03-05,3openai_dd2ace1e,5,0,34,4,6.8,11,3.11,2.0,39,40,1.0,1.0,1.0,0,
gpt-5.4-mini-2026-03-17,1openai_60deb7a8,7,0,42,0,6,13,4.32,2.0,49,50,1.0,1.0,1.0,0,
gpt-5.4-mini-2026-03-17,2openai_431f6694,7,0,42,0,6,13,4.32,2.0,49,50,1.0,1.0,1.0,0,
gpt-5.4-mini-2026-03-17,3openai_ba6f651a,7,0,42,0,6,11,4.62,2.0,49,50,1.0,1.0,1.0,0,
gpt-5.4-nano-2026-03-17,1openai_4791674e,6,0,40,0,6.67,19,7.03,2.0,46,47,0.9762,1.0,0.988,0,
gpt-5.4-nano-2026-03-17,2openai_c93da3e7,7,0,42,0,6,12,4.2,2.0,49,50,1.0,1.0,1.0,0,
gpt-5.4-nano-2026-03-17,3openai_21bc7db9,7,0,41,0,5.86,13,4.81,2.0,48,49,1.0,1.0,1.0,0,
models/gemini-2.5-flash,1gemini_440d5c8c,7,0,42,1,6,12,4.04,2.0,49,50,1.0,1.0,1.0,0,
models/gemini-2.5-flash,2gemini_b3543b9f,7,0,42,3,6,8,1.73,2.0,49,50,1.0,1.0,1.0,0,
models/gemini-2.5-flash,3gemini_13915f25,7,0,42,1,6,14,4.8,2.0,49,50,1.0,1.0,1.0,0,
models/gemini-2.5-flash-lite,1gemini_7b0abb14,7,0,41,2,5.86,16,4.85,2.0,48,49,0.9762,1.0,0.988,0,
models/gemini-2.5-flash-lite,2gemini_dcf7c8fd,7,0,42,1,6,18,5.97,2.0,49,50,1.0,1.0,1.0,0,
models/gemini-2.5-flash-lite,3gemini_079bf3e6,6,0,35,0,5.83,10,3.71,2.0,41,42,0.9762,1.0,0.988,0,
models/gemini-2.5-pro,1gemini_fb5531a5,7,0,42,4,6,10,2.24,2.0,49,50,1.0,1.0,1.0,0,
models/gemini-2.5-pro,2gemini_fa98759f,7,0,42,2,6,12,3.32,2.0,49,50,1.0,1.0,1.0,0,
models/gemini-2.5-pro,3gemini_0ed49c2a,7,0,42,4,6,12,2.89,2.0,49,50,1.0,1.0,1.0,0,
