experiment_id,scope,total_pairs,always_together,stability_score
Comb_Rules_Basic_T0_247684,models/gemini-2.5-flash-lite,203,203,1.0
Comb_Rules_Basic_T0_247684,claude-haiku-4-5-20251001,75,35,0.4667
Comb_Rules_Basic_T0_247684,gpt-5.4-nano-2026-03-17,207,18,0.087
Comb_Rules_Basic_T0_247684,models/gemini-2.5-flash,21,21,1.0
Comb_Rules_Basic_T0_247684,gpt-5.4-mini-2026-03-17,242,9,0.0372
Comb_Rules_Basic_T0_247684,gpt-5.4-2026-03-05,149,4,0.0268
Comb_Rules_Basic_T0_247684,claude-sonnet-4-6,47,13,0.2766
Comb_Rules_Basic_T0_247684,models/gemini-2.5-pro,100,36,0.36
Comb_Rules_Basic_T0_247684,claude-opus-4-6,91,20,0.2198
Comb_Rules_Basic_T0_247684,experiment,460,0,0.0
