experiment_id,scope,model_id,num_groups,num_games_covered,coverage_pct,avg_group_size,min_group_size,max_group_size
Exp1AcrossOpenAi,model,gpt-5.4,7,22,52.4,3.14,2,5
Exp1AcrossOpenAi,model,gpt-5.4-mini,14,58,138.1,4.14,2,8
Exp1AcrossOpenAi,model,gpt-5.4-nano,8,22,52.4,2.75,2,5
Exp1AcrossOpenAi,experiment,all,3,8,19.0,2.67,2,4
Experiment1,model,claude,15,62,147.6,4.13,2,20
Experiment1,model,gemini,9,44,104.8,4.89,2,8
Experiment1,model,openai,5,28,66.7,5.6,2,8
Experiment1,experiment,all,2,12,28.6,6.0,6,6
NewAcrossOpenAi,model,gpt-5.4,7,47,111.9,6.71,2,12
NewAcrossOpenAi,model,gpt-5.4-mini,19,122,290.5,6.42,2,17
NewAcrossOpenAi,model,gpt-5.4-nano,8,43,102.4,5.38,2,8
NewAcrossOpenAi,experiment,all,3,13,31.0,4.33,2,6
NewAcrossModel,model,claude,17,44,104.8,2.59,2,4
NewAcrossModel,model,gemini,9,23,54.8,2.56,2,4
NewAcrossModel,model,openai,5,15,35.7,3.0,2,5
NewAcrossModel,experiment,all,2,6,14.3,3.0,2,4
Comb_List_Basic_T0_00654f,model,claude-haiku-4-5-20251001,8,23,54.8,2.88,2,5
Comb_List_Basic_T0_00654f,model,claude-opus-4-6,11,26,61.9,2.36,2,4
Comb_List_Basic_T0_00654f,model,claude-sonnet-4-6,9,19,45.2,2.11,2,3
Comb_List_Basic_T0_00654f,model,gpt-5.4-2026-03-05,6,17,40.5,2.83,2,5
Comb_List_Basic_T0_00654f,model,gpt-5.4-mini-2026-03-17,6,29,69.0,4.83,2,10
Comb_List_Basic_T0_00654f,model,gpt-5.4-nano-2026-03-17,8,20,47.6,2.5,2,5
Comb_List_Basic_T0_00654f,model,models/gemini-2.5-flash,8,23,54.8,2.88,2,5
Comb_List_Basic_T0_00654f,model,models/gemini-2.5-flash-lite,7,42,100.0,6.0,2,12
Comb_List_Basic_T0_00654f,model,models/gemini-2.5-pro,8,19,45.2,2.38,2,4
Comb_List_Basic_T1_00654f,model,claude-haiku-4-5-20251001,5,12,28.6,2.4,2,3
Comb_List_Basic_T1_00654f,model,claude-opus-4-6,5,23,54.8,4.6,2,9
Comb_List_Basic_T1_00654f,model,claude-sonnet-4-6,7,15,35.7,2.14,2,3
Comb_List_Basic_T1_00654f,model,gpt-5.4-2026-03-05,6,17,40.5,2.83,2,5
Comb_List_Basic_T1_00654f,model,gpt-5.4-mini-2026-03-17,8,26,61.9,3.25,2,5
Comb_List_Basic_T1_00654f,model,gpt-5.4-nano-2026-03-17,5,12,28.6,2.4,2,3
Comb_List_Basic_T1_00654f,model,models/gemini-2.5-flash,9,27,64.3,3.0,2,7
Comb_List_Basic_T1_00654f,model,models/gemini-2.5-flash-lite,5,10,23.8,2.0,2,2
Comb_List_Basic_T1_00654f,model,models/gemini-2.5-pro,10,31,73.8,3.1,2,6
Comb_List_SpecifyEx_T1_00654f,model,claude-haiku-4-5-20251001,8,17,40.5,2.13,2,3
Comb_List_SpecifyEx_T1_00654f,model,claude-opus-4-6,8,20,47.6,2.5,2,5
Comb_List_SpecifyEx_T1_00654f,model,claude-sonnet-4-6,6,19,45.2,3.17,2,6
Comb_List_SpecifyEx_T1_00654f,model,gpt-5.4-2026-03-05,6,19,45.2,3.17,2,5
Comb_List_SpecifyEx_T1_00654f,model,gpt-5.4-mini-2026-03-17,6,29,69.0,4.83,2,8
