experiment_id,scope,total_pairs,always_together,stability_score
Comb_List_SpecifyExCats_T1_00654f,claude-haiku-4-5-20251001,245,43,0.1755
Comb_List_SpecifyExCats_T1_00654f,claude-sonnet-4-6,213,76,0.3568
Comb_List_SpecifyExCats_T1_00654f,claude-opus-4-6,184,69,0.375
Comb_List_SpecifyExCats_T1_00654f,gpt-5.4-nano-2026-03-17,449,74,0.1648
Comb_List_SpecifyExCats_T1_00654f,gpt-5.4-mini-2026-03-17,318,35,0.1101
Comb_List_SpecifyExCats_T1_00654f,gpt-5.4-2026-03-05,203,71,0.3498
Comb_List_SpecifyExCats_T1_00654f,models/gemini-2.5-flash-lite,510,28,0.0549
Comb_List_SpecifyExCats_T1_00654f,models/gemini-2.5-flash,245,29,0.1184
Comb_List_SpecifyExCats_T1_00654f,models/gemini-2.5-pro,263,36,0.1369
Comb_List_SpecifyExCats_T1_00654f,experiment,759,1,0.0013
