run_name,game,categories,num_categories
1gemini_07f48f89,Evolomino,Multi-Color/Shade Focus (or distinct cell types); Shape/Component Fitting,2
1gemini_07f48f89,Five Cells,Multi-Color/Shade Focus (or distinct cell types); Shape/Component Fitting,2
1gemini_07f48f89,LITS,Multi-Color/Shade Focus (or distinct cell types); Shape/Component Fitting,2
1openai_28e0dda5,Akari,Illumination / Ray placement; Loop / Cycle / Path-drawing (single closed loop),2
1openai_28e0dda5,Masyu,Loop / Cycle / Path-drawing (single closed loop); Number + geometry (spatial relationships enforced by numbers),2
1openai_28e0dda5,Slitherlink,Loop / Cycle / Path-drawing (single closed loop); Number + geometry (spatial relationships enforced by numbers),2
1openai_28e0dda5,Shakashaka,Loop / Cycle / Path-drawing (single closed loop); Grid painting with black/white (binary or multi-state fill); Number + geometry (spatial relationships enforced by numbers),3
1openai_28e0dda5,Shikaku,Region partitioning (areas/regions with rules); Number + geometry (spatial relationships enforced by numbers),2
1openai_28e0dda5,Yosenabe,Region partitioning (areas/regions with rules); Placement / selection with grid-wide constraints (no explicit loop),2
1openai_28e0dda5,Suraromu,Region partitioning (areas/regions with rules); Number + geometry (spatial relationships enforced by numbers),2
1openai_28e0dda5,Nurikabe,Region partitioning (areas/regions with rules); Grid painting with black/white (binary or multi-state fill); Number + geometry (spatial relationships enforced by numbers),3
1openai_28e0dda5,Hitori,Region partitioning (areas/regions with rules); Placement / selection with grid-wide constraints (no explicit loop); Grid painting with black/white (binary or multi-state fill),3
1openai_28e0dda5,Heyawake,Region partitioning (areas/regions with rules); Placement / selection with grid-wide constraints (no explicit loop); Number + geometry (spatial relationships enforced by numbers),3
1openai_28e0dda5,Kurodoko,Region partitioning (areas/regions with rules); Grid painting with black/white (binary or multi-state fill); Number + geometry (spatial relationships enforced by numbers),3
1openai_28e0dda5,Kurotto,Region partitioning (areas/regions with rules); Grid painting with black/white (binary or multi-state fill); Number + geometry (spatial relationships enforced by numbers),3
1openai_28e0dda5,Hebi,Fill / Tiling with shapes (polyomino-like); Connectivity / Pair connection (non-loop); Single-line / route covering (not necessarily one loop),3
1openai_28e0dda5,Nuritwin,Fill / Tiling with shapes (polyomino-like); Connectivity / Pair connection (non-loop),2
1openai_28e0dda5,Nurimeizu,Fill / Tiling with shapes (polyomino-like); Connectivity / Pair connection (non-loop),2
1openai_28e0dda5,Nurimisaki,Fill / Tiling with shapes (polyomino-like); Connectivity / Pair connection (non-loop),2
1openai_28e0dda5,Nagareru,Connectivity / Pair connection (non-loop); Single-line / route covering (not necessarily one loop),2
1openai_28e0dda5,Norinori,Connectivity / Pair connection (non-loop); Single-line / route covering (not necessarily one loop),2
1openai_28e0dda5,Usowan,Connectivity / Pair connection (non-loop); Number + geometry (spatial relationships enforced by numbers),2
1openai_28e0dda5,Sto-stone,Sequence / ordering / local adjacency; Number + geometry (spatial relationships enforced by numbers),2
1openai_28e0dda5,Tilepaint,Placement / selection with grid-wide constraints (no explicit loop); Grid painting with black/white (binary or multi-state fill),2
1openai_28e0dda5,Nansuke,Grid painting with black/white (binary or multi-state fill); Number + geometry (spatial relationships enforced by numbers),2
1openai_28e0dda5,Yajilin,Number + geometry (spatial relationships enforced by numbers); Loop / Cycle / Path-drawing (single closed loop),2
1gemini_07f48f89,Evolomino,Multi-Color/Shade Focus (or distinct cell types); Shape/Component Fitting,2
1gemini_07f48f89,Five Cells,Multi-Color/Shade Focus (or distinct cell types); Shape/Component Fitting,2
1gemini_07f48f89,LITS,Multi-Color/Shade Focus (or distinct cell types); Shape/Component Fitting,2
1openai_28e0dda5,Akari,Illumination / Ray placement; Loop / Cycle / Path-drawing (single closed loop),2
1openai_28e0dda5,Masyu,Loop / Cycle / Path-drawing (single closed loop); Number + geometry (spatial relationships enforced by numbers),2
1openai_28e0dda5,Slitherlink,Loop / Cycle / Path-drawing (single closed loop); Number + geometry (spatial relationships enforced by numbers),2
1openai_28e0dda5,Shakashaka,Loop / Cycle / Path-drawing (single closed loop); Grid painting with black/white (binary or multi-state fill); Number + geometry (spatial relationships enforced by numbers),3
1openai_28e0dda5,Shikaku,Region partitioning (areas/regions with rules); Number + geometry (spatial relationships enforced by numbers),2
1openai_28e0dda5,Yosenabe,Region partitioning (areas/regions with rules); Placement / selection with grid-wide constraints (no explicit loop),2
1openai_28e0dda5,Suraromu,Region partitioning (areas/regions with rules); Number + geometry (spatial relationships enforced by numbers),2
1openai_28e0dda5,Nurikabe,Region partitioning (areas/regions with rules); Grid painting with black/white (binary or multi-state fill); Number + geometry (spatial relationships enforced by numbers),3
1openai_28e0dda5,Hitori,Region partitioning (areas/regions with rules); Placement / selection with grid-wide constraints (no explicit loop); Grid painting with black/white (binary or multi-state fill),3
1openai_28e0dda5,Heyawake,Region partitioning (areas/regions with rules); Placement / selection with grid-wide constraints (no explicit loop); Number + geometry (spatial relationships enforced by numbers),3
1openai_28e0dda5,Kurodoko,Region partitioning (areas/regions with rules); Grid painting with black/white (binary or multi-state fill); Number + geometry (spatial relationships enforced by numbers),3
1openai_28e0dda5,Kurotto,Region partitioning (areas/regions with rules); Grid painting with black/white (binary or multi-state fill); Number + geometry (spatial relationships enforced by numbers),3
1openai_28e0dda5,Hebi,Fill / Tiling with shapes (polyomino-like); Connectivity / Pair connection (non-loop); Single-line / route covering (not necessarily one loop),3
1openai_28e0dda5,Nuritwin,Fill / Tiling with shapes (polyomino-like); Connectivity / Pair connection (non-loop),2
1openai_28e0dda5,Nurimeizu,Fill / Tiling with shapes (polyomino-like); Connectivity / Pair connection (non-loop),2
1openai_28e0dda5,Nurimisaki,Fill / Tiling with shapes (polyomino-like); Connectivity / Pair connection (non-loop),2
1openai_28e0dda5,Nagareru,Connectivity / Pair connection (non-loop); Single-line / route covering (not necessarily one loop),2
1openai_28e0dda5,Norinori,Connectivity / Pair connection (non-loop); Single-line / route covering (not necessarily one loop),2
1openai_28e0dda5,Usowan,Connectivity / Pair connection (non-loop); Number + geometry (spatial relationships enforced by numbers),2
1openai_28e0dda5,Sto-stone,Sequence / ordering / local adjacency; Number + geometry (spatial relationships enforced by numbers),2
1openai_28e0dda5,Tilepaint,Placement / selection with grid-wide constraints (no explicit loop); Grid painting with black/white (binary or multi-state fill),2
1openai_28e0dda5,Nansuke,Grid painting with black/white (binary or multi-state fill); Number + geometry (spatial relationships enforced by numbers),2
1openai_28e0dda5,Yajilin,Number + geometry (spatial relationships enforced by numbers); Loop / Cycle / Path-drawing (single closed loop),2
1gemini_88eff394,Choco Banana,Region/Block Based; Multi-Path/Network Based,2
1gemini_88eff394,Hebi,Region/Block Based; Multi-Path/Network Based,2
1gemini_88eff394,LITS,Region/Block Based; Hybrid/Advanced Games,2
1gemini_88eff394,Evolomino,Single Cell/Constraint Based; Hybrid/Advanced Games,2
1gemini_88eff394,Suraromu,Single Cell/Constraint Based; Hybrid/Advanced Games,2
1openai_853122d0,Hashiwokakero,Non-attacking pairs / connectivity-on-a-grid puzzles (endpoint connections); Non-attacking pairs / connectivity-on-a-grid puzzles (endpoint connections),2
1openai_a72cf554,Nagareru,Loop/path with directional or movement constraints; Hybrid or Hard-to-Classify Constraint Puzzles,2
1openai_a72cf554,Pencils,Loop/path with directional or movement constraints; Geometric piece placement,2
1openai_a72cf554,Hashiwokakero,Connection/bridge style path construction; Number assignment through connectivity/path structure,2
1openai_a72cf554,Numberlink,Connection/bridge style path construction; Number assignment through connectivity/path structure,2
1openai_a72cf554,Nurikabe,Island/sea and connectivity-based shading; Size-labeled region formation,2
1openai_a72cf554,Akari,Local clue driven black/white placement; Illumination / visibility; Hybrid or Hard-to-Classify Constraint Puzzles,3
1openai_a72cf554,Usowan,Local clue driven black/white placement; Symbol balancing / binary-state placement,2
1openai_a72cf554,Yajilin,Local clue driven black/white placement; Hybrid or Hard-to-Classify Constraint Puzzles,2
1openai_a72cf554,Heyawake,Region-aware shading; Hybrid or Hard-to-Classify Constraint Puzzles,2
1openai_a72cf554,Moon-or-Sun,Region-aware shading; Symbol balancing / binary-state placement,2
1openai_a72cf554,Double Choco,Region-aware shading; Polyomino decomposition / reconstruction; Hybrid or Hard-to-Classify Constraint Puzzles,3
1openai_a72cf554,Tilepaint,Region-aware shading; Symbol balancing / binary-state placement,2
1openai_a72cf554,LITS,Polyomino / shape constrained shading; Polyomino decomposition / reconstruction; Shape-recognition / repeated polyomino logic,3
1openai_a72cf554,Norinori,Polyomino / shape constrained shading; Shape-recognition / repeated polyomino logic,2
1openai_a72cf554,Five Cells,Polyomino / shape constrained shading; Polyomino decomposition / reconstruction; Shape-recognition / repeated polyomino logic,3
1openai_a72cf554,Shikaku,Rectangular and orthogonal partitioning; Size-labeled region formation,2
