model_id,run_name,edit_dist_experiment,edit_dist_model
claude-haiku-4-5-20251001,1claude_29407d20,39,17
claude-haiku-4-5-20251001,2claude_f84a2074,38,16
claude-haiku-4-5-20251001,3claude_dd2c02ae,39,17
claude-opus-4-6,1claude_33e44504,39,4
claude-opus-4-6,2claude_e667b5ae,39,4
claude-opus-4-6,3claude_24df91cd,39,4
claude-sonnet-4-6,1claude_ea560e11,39,14
claude-sonnet-4-6,2claude_d6dbe298,39,16
claude-sonnet-4-6,3claude_f523c957,39,16
gpt-5.4-2026-03-05,1openai_d8e1b8f1,39,16
gpt-5.4-2026-03-05,2openai_151e6197,39,12
gpt-5.4-2026-03-05,3openai_dd2ace1e,31,4
gpt-5.4-mini-2026-03-17,1openai_60deb7a8,39,16
gpt-5.4-mini-2026-03-17,2openai_431f6694,39,18
gpt-5.4-mini-2026-03-17,3openai_ba6f651a,39,19
gpt-5.4-nano-2026-03-17,1openai_4791674e,37,30
gpt-5.4-nano-2026-03-17,2openai_c93da3e7,39,27
gpt-5.4-nano-2026-03-17,3openai_21bc7db9,38,28
models/gemini-2.5-flash,1gemini_440d5c8c,39,16
models/gemini-2.5-flash,2gemini_b3543b9f,39,13
models/gemini-2.5-flash,3gemini_13915f25,39,18
models/gemini-2.5-flash-lite,1gemini_7b0abb14,36,23
models/gemini-2.5-flash-lite,2gemini_dcf7c8fd,37,26
models/gemini-2.5-flash-lite,3gemini_079bf3e6,32,16
models/gemini-2.5-pro,1gemini_fb5531a5,39,11
models/gemini-2.5-pro,2gemini_fa98759f,39,14
models/gemini-2.5-pro,3gemini_0ed49c2a,39,11
