model_id,run_name,num_categories,num_subcategories,num_games,dist_min,dist_mean,dist_max,dist_stdev,avg_path_length,num_edges,num_nodes,recall,precision,f1,num_hallucinations,hallucinated_names
claude-haiku-4-5-20251001,1claude_07b614bb,7,0,42,0,6,11,4.36,2.0,49,50,1.0,0.9767,0.9882,1,Nuroimeizu
claude-haiku-4-5-20251001,2claude_2c705024,7,0,42,3,6,10,2.31,2.0,49,50,1.0,1.0,1.0,0,
claude-haiku-4-5-20251001,3claude_32ef77bb,7,0,41,5,5.86,8,1.21,2.0,48,49,0.9762,1.0,0.988,0,
claude-opus-4-6,1claude_5ed36c3f,7,0,42,3,6,9,2.08,2.0,49,50,1.0,1.0,1.0,0,
claude-opus-4-6,2claude_db04576a,7,0,42,3,6,11,2.89,2.0,49,50,1.0,1.0,1.0,0,
claude-opus-4-6,3claude_cde50a63,7,0,42,2,6,10,2.89,2.0,49,50,1.0,1.0,1.0,0,
claude-sonnet-4-6,1claude_5950b9b3,7,0,42,1,6,10,3.27,2.0,49,50,1.0,1.0,1.0,0,
claude-sonnet-4-6,2claude_be98b8f2,7,0,42,1,6,10,3.11,2.0,49,50,1.0,1.0,1.0,0,
claude-sonnet-4-6,3claude_f3844ed7,7,0,42,2,6,11,3.46,2.0,49,50,1.0,1.0,1.0,0,
gpt-5.4-2026-03-05,1openai_0decac5f,5,0,31,4,6.2,12,3.35,2.0,36,37,1.0,1.0,1.0,0,
gpt-5.4-2026-03-05,2openai_c3a1959e,5,0,36,3,7.2,15,4.92,2.0,41,42,0.9762,1.0,0.988,0,
gpt-5.4-2026-03-05,3openai_f0df9a10,5,0,32,3,6.4,13,3.97,2.0,37,38,1.0,1.0,1.0,0,
gpt-5.4-mini-2026-03-17,1openai_c8590691,7,0,42,2,6,12,3.46,2.0,49,50,1.0,1.0,1.0,0,
gpt-5.4-mini-2026-03-17,2openai_a51dfa5b,7,0,42,0,6,12,4.73,2.0,49,50,1.0,1.0,1.0,0,
gpt-5.4-mini-2026-03-17,3openai_9c19ae1a,6,0,39,0,6.5,9,3.27,2.0,45,46,1.0,0.9767,0.9882,1,Ako
gpt-5.4-nano-2026-03-17,1openai_8d0f47fc,7,0,42,1,6,13,4.58,2.0,49,50,1.0,1.0,1.0,0,
gpt-5.4-nano-2026-03-17,2openai_22e0fb09,7,0,41,0,5.86,17,7.65,2.0,48,49,0.9762,1.0,0.988,0,
gpt-5.4-nano-2026-03-17,3openai_b5ffa823,7,0,41,0,5.86,22,7.93,2.0,48,49,0.9762,1.0,0.988,0,
models/gemini-2.5-flash,1gemini_28ac1a99,7,0,42,2,6,12,3.51,2.0,49,50,1.0,1.0,1.0,0,
models/gemini-2.5-flash,2gemini_bc305b1a,7,0,42,4,6,9,1.63,2.0,49,50,1.0,1.0,1.0,0,
models/gemini-2.5-flash,3gemini_2c241b84,7,0,42,3,6,8,1.73,2.0,49,50,1.0,1.0,1.0,0,
models/gemini-2.5-flash-lite,1gemini_9df9371d,7,0,42,1,6,30,10.74,2.0,49,50,1.0,1.0,1.0,0,
models/gemini-2.5-flash-lite,2gemini_d7808f67,7,0,41,3,5.86,8,2.12,2.0,48,49,0.9762,1.0,0.988,0,
models/gemini-2.5-flash-lite,3gemini_ee98cc1e,7,0,42,4,6,10,2.38,2.0,49,50,1.0,1.0,1.0,0,
models/gemini-2.5-pro,1gemini_32bdc7c3,7,0,42,1,6,12,4.32,2.0,49,50,1.0,1.0,1.0,0,
models/gemini-2.5-pro,2gemini_d6716ec7,7,0,41,3,5.86,13,3.44,2.0,48,49,1.0,1.0,1.0,0,
models/gemini-2.5-pro,3gemini_d048fafc,7,0,42,4,6,9,1.63,2.0,49,50,1.0,1.0,1.0,0,
