model_id,run_name,num_categories,num_subcategories,num_games,dist_min,dist_mean,dist_max,dist_stdev,avg_path_length,num_edges,num_nodes,recall,precision,f1,num_hallucinations,hallucinated_names
claude-haiku-4-5-20251001,1claude_2a870ea7,9,20,42,1,4.67,9,3.0,2.95,71,72,1.0,1.0,1.0,0,
claude-haiku-4-5-20251001,2claude_7454a066,8,14,42,1,5.25,12,3.77,2.98,64,65,1.0,1.0,1.0,0,
claude-haiku-4-5-20251001,3claude_02d4c784,6,9,41,1,6.83,14,4.92,2.98,56,57,0.9762,1.0,0.988,0,
claude-opus-4-6,1claude_1c61e685,7,18,42,1,6,14,4.55,2.93,67,68,1.0,1.0,1.0,0,
claude-opus-4-6,2claude_36e0d85b,7,15,42,1,6,16,4.9,2.9,64,65,1.0,1.0,1.0,0,
claude-opus-4-6,3claude_78390e3b,6,15,42,1,7,16,5.29,2.98,63,64,1.0,1.0,1.0,0,
claude-sonnet-4-6,1claude_36ab72c5,6,19,42,3,7,11,3.41,3.0,67,68,1.0,1.0,1.0,0,
claude-sonnet-4-6,2claude_6479a044,7,22,42,2,6,10,3.21,3.0,71,72,1.0,1.0,1.0,0,
claude-sonnet-4-6,3claude_ae9bbb4f,8,22,42,2,5.25,10,3.41,3.0,72,73,1.0,1.0,1.0,0,
gpt-5.4-2026-03-05,1openai_dbef8b50,1,7,42,42,42,42,0.0,3.98,68,69,1.0,1.0,1.0,0,
gpt-5.4-2026-03-05,2openai_eb9130bd,1,7,42,42,42,42,0.0,4.0,69,70,1.0,1.0,1.0,0,
gpt-5.4-2026-03-05,3openai_1ccf93c2,1,8,42,42,42,42,0.0,4.0,78,79,1.0,1.0,1.0,0,
gpt-5.4-mini-2026-03-17,1openai_e86a8fc3,8,13,41,0,5.12,21,7.92,3.0,62,63,0.9762,1.0,0.988,0,
gpt-5.4-mini-2026-03-17,2openai_c6af7f97,7,22,41,2,5.86,12,4.38,2.93,70,71,0.9762,1.0,0.988,0,
gpt-5.4-mini-2026-03-17,3openai_e703b520,11,1,42,0,3.82,22,7.36,2.0,54,55,1.0,1.0,1.0,0,
gpt-5.4-nano-2026-03-17,1openai_bb0c8cce,9,0,42,1,4.67,13,4.15,2.0,51,52,1.0,0.9767,0.9882,1,Hashiwokakakero
gpt-5.4-nano-2026-03-17,2openai_8dbc4e64,8,0,41,1,5.12,9,3.0,2.0,49,50,0.9762,0.9762,0.9762,1,Sato-gaeri
gpt-5.4-nano-2026-03-17,3openai_f39f8154,7,7,40,1,5.71,15,5.28,2.5,94,95,0.9524,1.0,0.9756,0,
models/gemini-2.5-flash,1gemini_9c47df6b,5,13,42,2,8.4,18,6.27,3.0,60,61,1.0,1.0,1.0,0,
models/gemini-2.5-flash,2gemini_2f08b376,5,16,40,4,8,15,4.3,3.0,61,62,0.9524,0.9756,0.9639,1,Mid-loop (Number Fill)
models/gemini-2.5-flash,3gemini_8fa8b8b7,5,10,41,2,8.2,16,5.45,2.95,56,57,0.9762,1.0,0.988,0,
models/gemini-2.5-flash-lite,1gemini_e3f3b370,5,7,40,0,8,28,11.92,4.0,66,67,0.9524,1.0,0.9756,0,
models/gemini-2.5-flash-lite,2gemini_0e059e4a,6,48,40,1,11.17,29,9.54,2.99,73,74,1.0,1.0,1.0,0,
models/gemini-2.5-flash-lite,3gemini_ac29c65f,1,6,41,41,41,41,0.0,3.98,57,58,0.9762,1.0,0.988,0,
models/gemini-2.5-pro,1gemini_ed86a9fb,6,12,42,2,7,11,3.95,2.88,60,61,1.0,1.0,1.0,0,
models/gemini-2.5-pro,2gemini_6e887da5,8,8,41,1,5.12,13,3.91,2.61,57,58,1.0,1.0,1.0,0,
models/gemini-2.5-pro,3gemini_be9e8a17,4,12,42,6,10.5,15,3.7,3.0,58,59,1.0,1.0,1.0,0,
