experiment_id,scope,total_pairs,always_together,stability_score
Comb_Rules_SpecifyEx_T0_247684,gpt-5.4-nano-2026-03-17,452,0,0.0
Comb_Rules_SpecifyEx_T0_247684,gpt-5.4-mini-2026-03-17,441,127,0.288
Comb_Rules_SpecifyEx_T0_247684,gpt-5.4-2026-03-05,70,0,0.0
Comb_Rules_SpecifyEx_T0_247684,claude-haiku-4-5-20251001,167,70,0.4192
Comb_Rules_SpecifyEx_T0_247684,models/gemini-2.5-flash-lite,137,137,1.0
Comb_Rules_SpecifyEx_T0_247684,models/gemini-2.5-flash,165,41,0.2485
Comb_Rules_SpecifyEx_T0_247684,claude-sonnet-4-6,47,5,0.1064
Comb_Rules_SpecifyEx_T0_247684,models/gemini-2.5-pro,146,71,0.4863
Comb_Rules_SpecifyEx_T0_247684,claude-opus-4-6,114,44,0.386
Comb_Rules_SpecifyEx_T0_247684,experiment,587,0,0.0
