model_id,run_name,edit_dist_experiment,edit_dist_model
claude-haiku-4-5-20251001,1claude_2c9424ff,39,6
claude-haiku-4-5-20251001,2claude_5f85c991,39,4
claude-haiku-4-5-20251001,3claude_d5baf067,39,4
claude-opus-4-6,1claude_810398e1,39,4
claude-opus-4-6,2claude_ab676973,39,4
claude-opus-4-6,3claude_2af52ecb,39,4
claude-sonnet-4-6,1claude_07d2eda9,39,10
claude-sonnet-4-6,2claude_c621fe81,39,10
claude-sonnet-4-6,3claude_60b4767f,39,14
gpt-5.4-2026-03-05,1openai_ce8a1133,35,6
gpt-5.4-2026-03-05,2openai_ce6ff08b,39,10
gpt-5.4-2026-03-05,3openai_2e8fa48e,39,7
gpt-5.4-mini-2026-03-17,1openai_69e3da9a,39,10
gpt-5.4-mini-2026-03-17,2openai_dcd397b1,39,15
gpt-5.4-mini-2026-03-17,3openai_82eb5ad7,39,10
gpt-5.4-nano-2026-03-17,1openai_ea83a88f,39,21
gpt-5.4-nano-2026-03-17,2openai_22e26d5b,39,17
gpt-5.4-nano-2026-03-17,3openai_4bab84d7,39,12
models/gemini-2.5-flash,10gemini_e1d7e2ba,39,15
models/gemini-2.5-flash,1gemini_cbfe0b0e,39,8
models/gemini-2.5-flash,2gemini_e74c3bf1,39,10
models/gemini-2.5-flash,3gemini_8b1b3aa7,39,8
models/gemini-2.5-flash,4gemini_86988e0b,39,15
models/gemini-2.5-flash,5gemini_bfd0e5e7,39,15
models/gemini-2.5-flash,6gemini_d2983cc8,39,14
models/gemini-2.5-flash,7gemini_585eb6ad,39,14
models/gemini-2.5-flash,8gemini_4ac02a0d,39,15
models/gemini-2.5-flash,9gemini_9d839328,39,15
models/gemini-2.5-flash-lite,1gemini_6dd7332d,37,1
models/gemini-2.5-flash-lite,2gemini_c112e168,37,1
models/gemini-2.5-flash-lite,3gemini_4f4f95cd,37,1
models/gemini-2.5-pro,1gemini_98dc3b8b,39,8
models/gemini-2.5-pro,2gemini_eb28c944,39,10
models/gemini-2.5-pro,3gemini_6f469b37,39,8
