model_id,run_name,num_categories,num_subcategories,num_games,dist_min,dist_mean,dist_max,dist_stdev,avg_path_length,num_edges,num_nodes,recall,precision,f1,num_hallucinations,hallucinated_names
claude-haiku-4-5-20251001,1claude_2c9424ff,7,0,42,1,6,9,2.83,2.0,49,50,1.0,1.0,1.0,0,
claude-haiku-4-5-20251001,2claude_5f85c991,7,0,42,2,6,9,2.65,2.0,49,50,1.0,1.0,1.0,0,
claude-haiku-4-5-20251001,3claude_d5baf067,7,0,42,3,6,9,2.16,2.0,49,50,1.0,1.0,1.0,0,
claude-opus-4-6,1claude_810398e1,7,0,42,3,6,11,2.83,2.0,49,50,1.0,1.0,1.0,0,
claude-opus-4-6,2claude_ab676973,7,0,42,3,6,11,2.71,2.0,49,50,1.0,1.0,1.0,0,
claude-opus-4-6,3claude_2af52ecb,7,0,42,3,6,10,2.38,2.0,49,50,1.0,1.0,1.0,0,
claude-sonnet-4-6,1claude_07d2eda9,7,0,42,2,6,12,3.65,2.0,49,50,1.0,1.0,1.0,0,
claude-sonnet-4-6,2claude_c621fe81,7,0,42,2,6,12,3.32,2.0,49,50,1.0,1.0,1.0,0,
claude-sonnet-4-6,3claude_60b4767f,7,0,42,1,6,12,3.56,2.0,49,50,1.0,1.0,1.0,0,
gpt-5.4-2026-03-05,1openai_ce8a1133,6,0,38,1,6.33,12,3.88,2.0,44,45,1.0,1.0,1.0,0,
gpt-5.4-2026-03-05,2openai_ce6ff08b,7,0,42,1,6,12,3.56,2.0,49,50,1.0,1.0,1.0,0,
gpt-5.4-2026-03-05,3openai_2e8fa48e,7,0,42,2,6,12,3.42,2.0,49,50,1.0,1.0,1.0,0,
gpt-5.4-mini-2026-03-17,1openai_69e3da9a,6,0,42,1,7,12,3.74,2.0,48,49,1.0,1.0,1.0,0,
gpt-5.4-mini-2026-03-17,2openai_dcd397b1,6,0,42,2,7,13,4.6,2.0,48,49,1.0,1.0,1.0,0,
gpt-5.4-mini-2026-03-17,3openai_82eb5ad7,7,0,42,0,6,13,4.28,2.0,49,50,1.0,1.0,1.0,0,
gpt-5.4-nano-2026-03-17,1openai_ea83a88f,7,0,42,0,6,23,8.96,2.0,49,50,1.0,1.0,1.0,0,
gpt-5.4-nano-2026-03-17,2openai_22e26d5b,7,0,42,0,6,18,7.23,2.0,49,50,1.0,1.0,1.0,0,
gpt-5.4-nano-2026-03-17,3openai_4bab84d7,7,0,42,0,6,13,5.16,2.0,49,50,1.0,1.0,1.0,0,
models/gemini-2.5-flash,10gemini_e1d7e2ba,7,0,42,2,6,13,3.96,2.0,49,50,1.0,1.0,1.0,0,
models/gemini-2.5-flash,1gemini_cbfe0b0e,7,0,42,2,6,11,3.11,2.0,49,50,1.0,1.0,1.0,0,
models/gemini-2.5-flash,2gemini_e74c3bf1,7,0,42,1,6,16,5.29,2.0,49,50,1.0,1.0,1.0,0,
models/gemini-2.5-flash,3gemini_8b1b3aa7,7,0,42,2,6,11,3.11,2.0,49,50,1.0,1.0,1.0,0,
models/gemini-2.5-flash,4gemini_86988e0b,7,0,42,2,6,13,3.96,2.0,49,50,1.0,1.0,1.0,0,
models/gemini-2.5-flash,5gemini_bfd0e5e7,7,0,42,2,6,13,3.96,2.0,49,50,1.0,1.0,1.0,0,
models/gemini-2.5-flash,6gemini_d2983cc8,7,0,42,2,6,13,3.74,2.0,49,50,1.0,1.0,1.0,0,
models/gemini-2.5-flash,7gemini_585eb6ad,7,0,42,2,6,13,3.74,2.0,49,50,1.0,1.0,1.0,0,
models/gemini-2.5-flash,8gemini_4ac02a0d,7,0,42,2,6,13,3.96,2.0,49,50,1.0,1.0,1.0,0,
models/gemini-2.5-flash,9gemini_9d839328,7,0,42,2,6,13,3.96,2.0,49,50,1.0,1.0,1.0,0,
models/gemini-2.5-flash-lite,1gemini_6dd7332d,7,0,42,1,6,19,6.0,2.0,49,50,1.0,1.0,1.0,0,
models/gemini-2.5-flash-lite,2gemini_c112e168,7,0,42,1,6,19,6.0,2.0,49,50,1.0,1.0,1.0,0,
models/gemini-2.5-flash-lite,3gemini_4f4f95cd,7,0,42,1,6,19,6.0,2.0,49,50,1.0,1.0,1.0,0,
models/gemini-2.5-pro,1gemini_98dc3b8b,7,0,42,2,6,14,4.16,2.0,49,50,1.0,1.0,1.0,0,
models/gemini-2.5-pro,2gemini_eb28c944,7,0,42,1,6,12,4.0,2.0,49,50,1.0,1.0,1.0,0,
models/gemini-2.5-pro,3gemini_6f469b37,7,0,42,2,6,14,4.16,2.0,49,50,1.0,1.0,1.0,0,
